station,lat,long,As,Cd,Cr,Pb,hg,ni,cu,Zn,fe,Mn,co,al,se,sb,ba,v,HPI
WELL OF BARDOLI AT REST HOUSE.,21.120001,73.120001,0.012,0.001,0.06,0.02,0.002,0.015,0.776,2.478,0.131,0.142,0.019,0.12,0.016,0.004,0.76,0.024,0.01
WELL AT ANKLESHWAR INDUSTRIAL AREA (BORE WELL OF M/S INDUSTRIAL CARBON AT ANKLESHWAR- RAJPIPLA ROAD,21.626625,73.014386,0.014,0.003,0.074,0.019,0.002,0.015,0.74,1.566,0.422,0.131,0.057,0.135,0.005,0.006,0.937,0.032,0.01
BORE WELL AT STP MADHAPAR DIST. RAJKOT.,22.325303,70.768797,0.013,0.005,0.073,0.017,0.001,0.029,0.755,1.97,0.366,0.177,0.012,0.124,0.019,0.005,0.963,0.026,0.01
BORE WELL SNR. VINAYAK JAL SUDDHIKARAN SAHAKARI MANDALI LTD. (CETP ) VILL. BAVLA DIST. AHMEDABAD.,23.080616,72.66693,0.009,0.004,0.015,0.019,0.002,0.012,1.741,1.627,0.327,0.066,0.018,0.381,0.007,0.005,0.917,0.018,0.01
BORE WELL OF SOMESHWAR RICE MILL NR. BAVLA ECO PROJECT (CETP ) VILL. BAVLA DIST. AHMEDABAD.,22.855423,72.365734,0.02,0.002,0.047,0.01,0.002,0.013,1.527,3.998,0.161,0.071,0.053,0.371,0.006,0.007,0.808,0.027,0.01
BORE WELL OF PIRANA TERMINAL PUMPING STATION PIRANA NR. V. N. BRIDGE AHMEDABAD.,22.991197,72.566917,0.017,0.001,0.042,0.017,0.001,0.029,0.641,4.524,0.301,0.107,0.031,0.145,0.008,0.005,0.759,0.06,0.01
WELL AT VILLAGE DUNETHA DAMAN,20.426775,72.847097,0.006,0.003,0.045,0.019,0.001,0.014,1.689,4.267,0.451,0.05,0.059,0.363,0.016,0.004,0.867,0.034,0.01
WELL AT VILLAGE KACHIGAM DAMAN,20.384203,72.883423,0.005,0.004,0.056,0.018,0.002,0.023,1.996,1.336,0.298,0.111,0.016,0.391,0.016,0.002,0.764,0.05,0.01
WELL AT VILLAGE PIPERIA DADRA,20.310619,72.960967,0.02,0.004,0.015,0.01,0.001,0.027,1.586,2.034,0.473,0.093,0.014,0.109,0.013,0.003,0.554,0.019,0.01
WELL AT VILLAGE DADRA,20.316669,72.966672,0.018,0.004,0.075,0.02,0.001,0.025,0.99,1.748,0.318,0.188,0.064,0.103,0.02,0.006,0.764,0.022,0.01
DISCHARGE POINT OF DISTILLERY DAMAN,20.395111,72.863331,0.007,0.003,0.046,0.012,0.001,0.026,1.258,3.901,0.319,0.14,0.069,0.147,0.012,0.004,0.797,0.053,0.01
VAPI WEIR VAPI DAMAN,20.341709,72.910953,0.014,0.004,0.026,0.017,0.001,0.015,0.775,4.355,0.188,0.154,0.016,0.206,0.011,0.004,0.544,0.022,0.01
AT LAVACHA TEMPLE SILVASSA,20.298797,72.976956,0.008,0.002,0.053,0.008,0.001,0.014,0.532,3.162,0.283,0.13,0.058,0.232,0.017,0.001,0.955,0.03,0.01
D/S OF M/S SURAT BEVERAGES VILLAGE DADRA SILVASSA,20.312231,72.953768,0.01,0.002,0.03,0.012,0.002,0.014,1.668,4.812,0.44,0.116,0.041,0.282,0.011,0.001,0.995,0.058,0.01
AT VILLAGE NAMDHA VAPI,20.363842,72.883264,0.007,0.004,0.021,0.008,0.001,0.025,1.019,4.222,0.491,0.054,0.041,0.175,0.006,0.004,0.617,0.015,0.01
WELL AT AHMEDABAD,23.022784,72.571178,0.016,0.005,0.053,0.008,0.001,0.02,1.398,2.527,0.112,0.18,0.055,0.188,0.014,0.001,0.648,0.021,0.01
DAMANGANGA AT D/S OF GIDC WEIR VAPI,20.336422,72.915724,0.006,0.001,0.066,0.01,0.001,0.028,1.345,3.197,0.422,0.083,0.038,0.153,0.014,0.003,0.738,0.045,0.01
TAPI AT NIZHAR (GUJARAT),21.479147,74.194227,0.011,0.003,0.025,0.016,0.002,0.026,1.47,2.539,0.401,0.137,0.049,0.122,0.006,0.004,0.991,0.02,0.01
NARMADA AT GORA BRIDGE NAVAGAM (GUJARAT),21.862147,73.693991,0.017,0.004,0.057,0.015,0.001,0.017,1.127,3.814,0.238,0.186,0.067,0.39,0.008,0.006,0.853,0.023,0.01
VANDKHADI AT VILLAGE UMARWADA TA ANKLESHWAR BHARUCH,21.628255,73.016715,0.007,0.002,0.039,0.018,0.002,0.026,0.602,2.03,0.497,0.11,0.018,0.269,0.008,0.002,0.606,0.011,0.01
MACHHU-II DAM RAFLESHWAR MORBI RAJKOT,22.762517,70.864837,0.011,0.002,0.02,0.011,0.001,0.012,1.159,4.443,0.159,0.096,0.056,0.21,0.014,0.006,0.983,0.063,0.01
GOMTI LAKE OPP RANCHODAJI TEMPLE DAKOR KHEDA,22.756175,73.146486,0.011,0.004,0.07,0.019,0.002,0.012,1.984,3.177,0.39,0.194,0.045,0.279,0.015,0.004,0.847,0.015,0.01
HAMISAR TALAV BHUJ,23.251444,69.663361,0.012,0.005,0.065,0.017,0.002,0.019,0.651,1.317,0.37,0.106,0.039,0.209,0.011,0.004,0.709,0.02,0.01
MOONSAR LAKE OF VIRAMGAM,23.121408,72.041022,0.007,0.005,0.031,0.014,0.002,0.027,1.087,4.805,0.358,0.137,0.017,0.306,0.012,0.006,0.515,0.02,0.01
MALAV TALAV DHOLKA,22.726822,72.435239,0.015,0.002,0.037,0.005,0.001,0.02,0.724,1.396,0.166,0.118,0.053,0.231,0.019,0.004,0.874,0.024,0.01
VHERAIMATA TALAV AT ANAND,22.554542,72.954764,0.015,0.001,0.032,0.009,0.001,0.03,1.275,4.808,0.388,0.126,0.034,0.309,0.018,0.002,0.682,0.032,0.01
AMRAVATI AT VILLAGE DADHAL  TA ANKLESHWAR BHARUCH,21.635384,73.064972,0.011,0.005,0.058,0.02,0.002,0.022,1.78,2.739,0.196,0.103,0.03,0.253,0.013,0.004,0.718,0.024,0.01
VISHWAMITRI DOWNSTREAM OF AT KHALIPUR VILLAGE BEFORE MEETING JAMBUVA RIVER,22.209342,73.160406,0.007,0.005,0.066,0.019,0.001,0.011,1.289,3.733,0.224,0.155,0.033,0.348,0.011,0.003,0.841,0.013,0.01
VISHWAMITRI UPSTREAM AT ASOD BRIDGE AT N.H. 8  NEAR GLDEN CHOKDI ASOD VEMALI ROAD,22.255227,73.165754,0.015,0.003,0.066,0.005,0.001,0.023,0.625,4.242,0.496,0.129,0.035,0.17,0.008,0.005,0.597,0.049,0.01
MAHI AT SHERKHI BRIDGE,22.342339,73.054185,0.007,0.002,0.077,0.01,0.001,0.01,1.734,2.217,0.178,0.101,0.036,0.227,0.007,0.005,0.748,0.026,0.01
BOREWELL OF GIDC JHAGADIA,21.636969,73.131793,0.008,0.004,0.066,0.007,0.001,0.011,1.94,1.004,0.457,0.188,0.037,0.295,0.013,0.007,0.503,0.019,0.01
JILLA PANCHAYAT SCHOOL NEAR GRAM PANCHAYAT KATA FALIA VILLAGE NAMDHA VALSAD,20.608052,72.929151,0.008,0.004,0.034,0.019,0.001,0.02,0.562,2.453,0.344,0.108,0.061,0.283,0.009,0.003,0.853,0.059,0.01
BOREWELL OF GAYATRI PRAGNA SCHOOL BHADARWAD ROAD BAZAR FALIA SARIGAM VALSAD,20.284672,72.855067,0.018,0.005,0.076,0.006,0.002,0.027,0.528,1.572,0.108,0.163,0.047,0.374,0.016,0.001,0.679,0.058,0.01
BOREWELL AT PIRAMAL GLASS VILLAGE TARSADI AT KOSAMBA INDUSTRIAL AREA SURAT,21.458587,72.942997,0.017,0.004,0.022,0.017,0.001,0.012,1.977,2.019,0.19,0.068,0.032,0.148,0.012,0.002,0.882,0.034,0.01
BOREWELL AT PRIMARY HEALTH CENTER KADODARA SURAT,21.170075,72.96507,0.009,0.001,0.043,0.014,0.002,0.014,1.644,2.657,0.402,0.059,0.041,0.13,0.014,0.006,0.978,0.032,0.01
BOREWELL NEAR CENTER OF EXCELLENCE BUILDING GIDC VATVA AHMEDABAD,22.998773,72.554637,0.015,0.001,0.055,0.006,0.001,0.015,1.121,3.311,0.292,0.116,0.059,0.11,0.015,0.003,0.522,0.017,0.01
BOREWELL CETP-NARODA GIDC NARODA-AHMEDABAD,23.081253,72.667725,0.016,0.003,0.04,0.006,0.001,0.026,1.293,3.711,0.412,0.197,0.04,0.139,0.011,0.004,0.972,0.017,0.01
BOREWELL NEAR GIDC ODHAV INDUSTRIAL ASSOCIATION BUILDING GIDC ODHAV AHMEDABAD,23.021548,72.663581,0.007,0.002,0.035,0.013,0.001,0.02,1.573,3.718,0.221,0.158,0.05,0.315,0.014,0.002,0.774,0.023,0.01
BOREWELL NEAR MUNICIPAL SOLID WASTE SITE- GYASPUR NAROL AHMEDABAD,22.977868,72.543816,0.019,0.004,0.073,0.007,0.001,0.017,0.634,2.3,0.3,0.121,0.041,0.383,0.009,0.001,0.742,0.052,0.01
BOREWELL NEAR TSDF SITE OF GREEN ENVIRONMNET SERVICES CO. OP.LTD VATVA AHMEDABAD,22.955938,72.639459,0.016,0.002,0.039,0.019,0.001,0.023,1.428,2.096,0.348,0.104,0.013,0.253,0.019,0.001,0.608,0.02,0.01
BOREWELL NEAR TSDF SITE OF NARODA ENVIRO PROJECT.LTD ODHAVE AHMEDABAD,23.082136,72.66846,0.005,0.002,0.029,0.011,0.001,0.015,0.958,4.738,0.414,0.056,0.061,0.397,0.006,0.005,0.951,0.02,0.01
WELL OF MODASA NAGAR PALIKA VARIGRUH MODASA,23.462694,73.300731,0.013,0.004,0.046,0.01,0.001,0.017,1.865,1.549,0.243,0.154,0.048,0.16,0.015,0.003,0.537,0.029,0.01
WELL OF IDAR NAGAR PALIKA SAKARIA IDAR,23.825025,73.000853,0.007,0.003,0.022,0.015,0.002,0.013,0.855,4.868,0.126,0.152,0.05,0.113,0.006,0.005,0.749,0.034,0.01
BOREWELL OF GIDC-NADIAD AT GIDC OFFICE GIDC NADIAD KHEDA,22.710311,72.852892,0.017,0.005,0.039,0.007,0.002,0.017,1.392,1.926,0.372,0.179,0.018,0.331,0.013,0.005,0.988,0.046,0.01
BOREWELL OF TOWN RAJPIPLA DIST.NARMADA,21.871467,73.500417,0.01,0.001,0.076,0.005,0.002,0.012,1.366,3.915,0.433,0.117,0.066,0.382,0.014,0.006,0.956,0.065,0.01
BOREWELL OF GIDC PANOLI,21.630465,73.022882,0.019,0.005,0.068,0.009,0.002,0.022,0.674,1.429,0.475,0.199,0.034,0.199,0.017,0.005,0.674,0.056,0.01
BOREWELL KADI INDUSTRIAL AREA,23.309945,72.264236,0.02,0.005,0.021,0.012,0.001,0.027,1.176,3.488,0.44,0.06,0.017,0.278,0.009,0.006,0.935,0.024,0.01
DEESA BOREWELL,24.257083,72.193084,0.012,0.003,0.03,0.016,0.002,0.03,0.628,3.799,0.2,0.124,0.061,0.36,0.01,0.005,0.981,0.037,0.01
VISNAGAR BOREWELL,23.7,72.55,0.019,0.002,0.01,0.014,0.001,0.017,1.532,1.822,0.435,0.17,0.037,0.302,0.014,0.006,0.652,0.011,0.01
PATAN BOREWELL,23.849292,72.126753,0.016,0.005,0.067,0.005,0.001,0.026,0.519,1.616,0.317,0.166,0.027,0.3,0.018,0.005,0.55,0.017,0.01
VIJAPUR (RANASAN) BOREWELL,23.56714,72.750648,0.007,0.004,0.012,0.017,0.001,0.024,0.836,2.36,0.428,0.133,0.012,0.178,0.017,0.005,0.511,0.058,0.01
GIDC DAHOD DAHOD,22.840225,74.253625,0.017,0.005,0.071,0.005,0.001,0.013,1.963,4.956,0.49,0.173,0.046,0.291,0.018,0.004,0.848,0.054,0.01
BOREWELL OF GIDC JUNAGADH,21.521532,70.457033,0.017,0.002,0.045,0.014,0.001,0.011,1.446,1.32,0.299,0.147,0.013,0.277,0.014,0.002,0.879,0.063,0.01
BOREWELL NEAR TSDF SITE OF SAURASHTRA ENVIRO PROJECT LTD. JUNA KATARIYA BHACHAU,23.291042,70.3416,0.007,0.004,0.066,0.013,0.001,0.029,0.955,2.322,0.452,0.079,0.055,0.178,0.016,0.001,0.856,0.048,0.01
BOREWELL OF GIDC ANTALIA WATER SUPPLY BILLIMORA GANDEVI,20.768722,73.00164,0.014,0.003,0.061,0.014,0.002,0.025,1.502,2.323,0.202,0.057,0.014,0.323,0.016,0.005,0.651,0.02,0.01
BOREWELL OF KALIAWADI GRID ROAD NAVSARI,20.949681,72.915022,0.013,0.003,0.062,0.02,0.002,0.012,1.283,2.306,0.189,0.162,0.038,0.218,0.008,0.003,0.721,0.05,0.01
BOREWELL NERA TSDF OF NANDESARI ENVIRO CONTROL LIMITED NADESARI VADODARA,22.413725,73.090994,0.013,0.003,0.032,0.019,0.001,0.022,1.333,3.839,0.205,0.078,0.039,0.245,0.014,0.006,0.979,0.024,0.01
BOREWELL OF GIDC KALOL B/H GIDC OFFICE GIDC KALOL GANDHINAGAR,23.246247,72.509283,0.014,0.004,0.044,0.006,0.002,0.019,0.501,4.555,0.311,0.16,0.047,0.117,0.006,0.006,0.832,0.068,0.01
BOREWELL OF M/S ALFA ECA (I) LTD. UNIT-1 SR.NO. 249 UMA IND. ESTATE VASNA  IYAVA SANAND AHMEDABAD,23.027687,72.518736,0.018,0.004,0.044,0.013,0.001,0.028,1.994,3.874,0.262,0.088,0.064,0.135,0.013,0.001,0.965,0.011,0.01
BOREWELL OF L &amp; T LTD. PLOT NO. 144/146 SARKHEJ-BAVLA ROAD SANAND AHMEDABAD,22.894975,72.417879,0.014,0.004,0.068,0.009,0.002,0.015,0.682,1.813,0.329,0.121,0.063,0.117,0.012,0.004,0.774,0.028,0.01
BOREWELL OF GIDC KANSARI,24.325839,72.14038,0.005,0.004,0.049,0.012,0.001,0.022,1.024,1.222,0.286,0.113,0.025,0.159,0.016,0.005,0.857,0.028,0.01
BOREWELL OF GIDC SOJITRA,22.538881,72.720061,0.007,0.004,0.042,0.015,0.001,0.013,0.66,4.85,0.485,0.069,0.059,0.327,0.012,0.002,0.819,0.068,0.01
BOREWELL OF AJI GIDC RAJKOT,22.279594,70.835138,0.006,0.004,0.07,0.018,0.002,0.011,1.097,3.925,0.117,0.182,0.065,0.243,0.016,0.002,0.738,0.036,0.01
BOREWELL NEAR MUNICIPAL SOLID WASTE SITE NAKARWADI RAJKOT,22.303828,70.802397,0.008,0.001,0.079,0.019,0.002,0.025,1.284,3.415,0.217,0.114,0.059,0.21,0.017,0.002,0.664,0.021,0.01
BOREWELL NEAR TSDF OF GUJARAT MARITIME BOARD ALANG BHAVNAGAR,21.399603,72.174589,0.016,0.001,0.047,0.007,0.001,0.017,1.863,3.632,0.265,0.053,0.017,0.179,0.017,0.001,0.961,0.049,0.01
BOREWELL OF GIDC VARTEJ BHAVNAGAR,21.747898,72.074867,0.018,0.002,0.017,0.02,0.002,0.024,1.947,3.362,0.357,0.11,0.021,0.254,0.008,0.007,0.935,0.049,0.01
BOREWELL NEAR TSDF OF BHARUCH ENVIRO INFRASTRUCTURE LIMITED ANKLESHWAR BHARUCH,21.704767,72.995722,0.008,0.005,0.034,0.018,0.002,0.018,1.758,3.835,0.404,0.084,0.025,0.236,0.02,0.007,0.927,0.028,0.01
BOREWELL AT DHANGADHRA NEAR DHANGADHRA CHEMICALS,22.980975,71.4739,0.007,0.004,0.056,0.019,0.001,0.015,1.259,2.337,0.289,0.086,0.032,0.346,0.016,0.003,0.581,0.037,0.01
BOREWELL OF GIDC OFFICE SHANKAR TEKRI UDHYOGNAGAR JAMNANGAR,22.470878,70.059275,0.009,0.002,0.018,0.016,0.001,0.018,1.661,2.778,0.265,0.117,0.045,0.203,0.006,0.004,0.947,0.067,0.01
BOREWELL OF SHRI MAHAVIR METAL CRAFT PVT. LTD. PLOT NO. 3059 ROAD NO.6 NR. MAHAVIR CIRCLE PHASE-III,22.418404,70.042366,0.01,0.003,0.029,0.007,0.001,0.026,1.585,1.331,0.253,0.127,0.061,0.327,0.012,0.007,0.679,0.011,0.01
MAHI AT SEVALIA,22.81225,73.359778,0.014,0.004,0.058,0.01,0.002,0.024,1.609,1.568,0.276,0.115,0.017,0.343,0.015,0.004,0.713,0.064,0.01
BOREWELL OF MR. HITENDRABHAI LAKHMANBHAI KER SHIV SAI PARK NEW SMASHAN ROAD GANDHINAGAR,22.498056,70.058611,0.019,0.005,0.069,0.009,0.001,0.027,1.663,3.321,0.228,0.143,0.062,0.399,0.012,0.005,0.584,0.042,0.01
BOREWELL OF SHRI KANKESHWAR MAHADEV MANDIR OPP. MSW DUMPSITE VIBHAPAR,22.479167,70.0975,0.01,0.002,0.028,0.008,0.001,0.025,0.715,3.204,0.353,0.195,0.064,0.38,0.005,0.005,0.712,0.05,0.01
B/W OF JASHWANTBHAI PARMAR S. NO. 18 AT: VILLAGE KALAMSAR TA KHAMBHAT,22.291602,72.73921,0.01,0.002,0.059,0.017,0.001,0.012,0.709,4.362,0.461,0.088,0.054,0.361,0.011,0.006,0.566,0.026,0.01
B/W OF DISASTER PREVENTION AND MANAGEMANT CENTER(DPMC) GIDE ANKLE SHWAR FOR (MINARS),21.616613,73.00895,0.006,0.004,0.016,0.02,0.002,0.028,1.664,4.882,0.332,0.088,0.012,0.241,0.007,0.007,0.9,0.029,0.01
RIVER MAHI AT DODKA,22.460278,73.093889,0.016,0.005,0.044,0.014,0.001,0.016,1.565,3.535,0.471,0.112,0.066,0.27,0.01,0.006,0.704,0.05,0.01
BORE WELL AT VORAGAMDI,22.220328,73.221501,0.014,0.003,0.027,0.01,0.001,0.026,1.914,4.33,0.331,0.086,0.064,0.17,0.01,0.006,0.567,0.037,0.01
BHUKHI KHADI U/S OF GIDC VILAYAT TA; VAGRA DIST BHARUCH.,21.795463,72.907146,0.01,0.001,0.032,0.02,0.001,0.019,1.26,3.932,0.288,0.085,0.02,0.345,0.01,0.006,0.75,0.015,0.01
BHUKHI KHADI D/S OF GIDC VILAYAT TA; VAGRA DIST BHARUCH,21.784199,72.912815,0.017,0.002,0.052,0.016,0.001,0.02,1.094,3.141,0.135,0.059,0.062,0.38,0.011,0.003,0.773,0.055,0.01
BHUKHI KHADI D/S OF GIDC SAYKHA VILL: KOTHIYA TA: VAGRA DIST BHARUCH,21.832286,72.929571,0.007,0.003,0.043,0.018,0.001,0.01,0.586,2.183,0.426,0.132,0.035,0.359,0.014,0.002,0.833,0.044,0.01
GIDC WATER RESERVOIR VILL: BHERSAM TA: VAGRA DIST: BHARUCH,21.786202,72.855786,0.008,0.004,0.018,0.01,0.001,0.022,1.459,2.677,0.281,0.131,0.07,0.231,0.02,0.002,0.558,0.034,0.01
TAPPAR DAM VILLAGE TAPPAR TAL. ANJAR,23.250669,70.134275,0.016,0.003,0.048,0.009,0.001,0.011,1.756,1.427,0.281,0.101,0.06,0.381,0.02,0.005,0.619,0.042,0.01
TAPI AT UKAI SHERULA BRIDGE,21.259844,73.565783,0.011,0.002,0.061,0.017,0.001,0.014,1.554,3.224,0.377,0.139,0.053,0.393,0.009,0.002,0.883,0.062,0.01
TAPI AT KATHORE (NH-8 BRIDGE),21.284075,72.952236,0.005,0.003,0.051,0.018,0.002,0.02,0.738,2.333,0.314,0.09,0.054,0.374,0.012,0.007,0.854,0.06,0.01
MAHI AT VASAD,22.4405,73.073361,0.015,0.004,0.07,0.007,0.001,0.023,1.877,3.599,0.438,0.186,0.04,0.298,0.017,0.004,0.788,0.042,0.01
WELL AT BARODA,22.307158,73.181219,0.017,0.004,0.065,0.017,0.002,0.021,0.956,2.957,0.183,0.07,0.01,0.227,0.01,0.005,0.734,0.059,0.01
NARMADA AT GARUDESHWAR,21.887833,73.645444,0.016,0.005,0.049,0.008,0.001,0.024,0.961,1.699,0.265,0.165,0.014,0.189,0.017,0.005,0.867,0.062,0.01
Watrak,22.65166667,72.54972222,0.016,0.004,0.023,0.011,0.002,0.029,1.51,2.256,0.428,0.181,0.064,0.205,0.01,0.002,0.816,0.053,0.01
